Name,Votes,%vote,yearID,inducted
Carlos Beltrán,358,84.2,2026,TRUE
Andruw Jones,333,78.4,2026,TRUE
Chase Utley,251,59.1,2026,FALSE
Andy Pettitte,206,48.5,2026,FALSE
Félix Hernández,196,46.1,2026,FALSE
Alex Rodriguez,170,40,2026,FALSE
Manny Ramirez,165,38.8,2026,FALSE
Bobby Abreu,131,30.8,2026,FALSE
Jimmy Rollins,108,25.4,2026,FALSE
Cole Hamels,101,23.8,2026,FALSE
Dustin Pedroia,88,20.7,2026,FALSE
Mark Buehrle,85,20,2026,FALSE
Omar Vizquel,78,18.4,2026,FALSE
David Wright,63,14.8,2026,FALSE
Francisco Rodríguez,50,11.8,2026,FALSE
Torii Hunter,37,8.7,2026,FALSE
Ryan Braun,15,3.5,2026,FALSE
Edwin Encarnación,6,1.4,2026,FALSE
Shin-Soo Choo,3,0.7,2026,FALSE
Hunter Pence,2,0.5,2026,FALSE
Matt Kemp,2,0.5,2026,FALSE
Rick Porcello,2,0.5,2026,FALSE
Nick Markakis,1,0.2,2026,FALSE
Alex Gordon,1,0.2,2026,FALSE
Daniel Murphy,0,0,2026,FALSE
Howie Kendrick,0,0,2026,FALSE
Gio Gonzalez,0,0,2026,FALSE
